molecule_chembl_id,canonical_smiles,clean_smiles,IC50_nM
CHEMBL2087360,Fc1ccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)cc1Cl,Fc1ccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)cc1Cl,2.0
CHEMBL2087361,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,2.0
CHEMBL2148022,C#Cc1cccc(Nc2nc(Cl)nc3cc(OC)c(OC)cc23)c1,C#Cc1cccc(Nc2nc(Cl)nc3cc(OC)c(OC)cc23)c1,8000.0
CHEMBL2152704,Cc1ccc(O)cc1-n1c(=O)c2c(c3c(N)ncnc31)CCCC2,Cc1ccc(O)cc1-n1c(=O)c2c(c3c(N)ncnc31)CCCC2,1620.0
CHEMBL2152252,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cnc1N,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cnc1N,739.0
CHEMBL2152253,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3C)c2)cnc1N,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3C)c2)cnc1N,410.0
CHEMBL2178368,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)[nH]c4n3)cc2)CC1,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)[nH]c4n3)cc2)CC1,978.0
CHEMBL2205030,O=S1(=O)N=S(c2ccc(Br)cc2)c2ccncc21,O=S1(=O)N=S(c2ccc(Br)cc2)c2ccncc21,5400.0
CHEMBL1917092,COC(=O)c1ccc2c(c1)S(=O)(=O)N=S2c1ccc(Br)cc1,COC(=O)c1ccc2c(c1)S(=O)(=O)N=S2c1ccc(Br)cc1,1000.0
CHEMBL2205766,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,10000.0
CHEMBL1981977,O=C(/C=C/c1ccccc1)Nc1ccccc1Cl,O=C(C=Cc1ccccc1)Nc1ccccc1Cl,9860.0
CHEMBL1998736,O=C(/C=C/c1ccccc1)Nc1ccccc1F,O=C(C=Cc1ccccc1)Nc1ccccc1F,7370.0
CHEMBL2283248,CCOc1ccccc1NC(=O)/C=C/c1ccccc1,CCOc1ccccc1NC(=O)C=Cc1ccccc1,9350.0
CHEMBL2336357,COc1ccc(NC(=O)/C=C/c2ccccc2)cc1,COc1ccc(NC(=O)C=Cc2ccccc2)cc1,9050.0
CHEMBL2336355,COc1ccccc1NC(=O)/C=C/c1ccccc1,COc1ccccc1NC(=O)C=Cc1ccccc1,5160.0
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,8600.0
CHEMBL2316158,COc1cc(/C=C2\CCC/C(=C\c3ccc(S(C)(=O)=O)cc3)C2=O)cc(OC)c1,COc1cc(C=C2CCCC(=Cc3ccc(S(C)(=O)=O)cc3)C2=O)cc(OC)c1,1900.0
CHEMBL2316157,COc1cc(/C=C2\CCC/C(=C\c3cc(OC)cc(OC)c3)C2=O)cc(OC)c1,COc1cc(C=C2CCCC(=Cc3cc(OC)cc(OC)c3)C2=O)cc(OC)c1,2000.0
CHEMBL2316155,COc1cc(/C=C2\CCC/C(=C\c3ccc(OC)c(O)c3)C2=O)cc(OC)c1,COc1cc(C=C2CCCC(=Cc3ccc(OC)c(O)c3)C2=O)cc(OC)c1,5300.0
CHEMBL2316154,COc1cc(/C=C2\CCC/C(=C\c3ccc(N(C)C)cc3)C2=O)cc(OC)c1,COc1cc(C=C2CCCC(=Cc3ccc(N(C)C)cc3)C2=O)cc(OC)c1,3900.0
CHEMBL2316153,COc1cc(/C=C2\CCC/C(=C\c3ccc(O)cc3)C2=O)cc(OC)c1,COc1cc(C=C2CCCC(=Cc3ccc(O)cc3)C2=O)cc(OC)c1,4600.0
CHEMBL2316151,COc1cc(/C=C2\CCC/C(=C\c3ccc(O)c(O)c3)C2=O)cc(OC)c1,COc1cc(C=C2CCCC(=Cc3ccc(O)c(O)c3)C2=O)cc(OC)c1,400.0
CHEMBL2316150,COc1cccc(/C=C2\CCC/C(=C\c3cc(OC)cc(OC)c3)C2=O)c1,COc1cccc(C=C2CCCC(=Cc3cc(OC)cc(OC)c3)C2=O)c1,6100.0
CHEMBL2316140,COc1cc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc(OC)c1,COc1cc(C=C2CCCC(=Cc3ccccc3)C2=O)cc(OC)c1,1600.0
CHEMBL2315700,CC1=CCC[C@H]2[C@](C)(CC3=C(O)C(=O)C=C(N[C@@H](CO)C(=O)O)C3=O)[C@@H](C)CC[C@]12C,CC1=CCCC2C1(C)CCC(C)C2(C)CC1=C(O)C(=O)C=C(NC(CO)C(=O)O)C1=O,125.0
CHEMBL484235,COC1=CC(=O)C(O)=C(C/C=C(\C)CC[C@@]2(C)CCC=C(C)[C@H]2C)C1=O,COC1=CC(=O)C(O)=C(CC=C(C)CCC2(C)CCC=C(C)C2C)C1=O,200.0
CHEMBL470685,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(OC)C1=O,C=C1C(C)CCCC1(C)CCC(C)=CCC1=C(O)C(=O)C=C(OC)C1=O,200.0
CHEMBL2315695,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@H](CO)C(=O)O)C2=O)[C@@H]1C,CC(=CCC1=C(O)C(=O)C=C(NC(CO)C(=O)O)C1=O)CCC1(C)CCC=C(C)C1C,200.0
CHEMBL2315411,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@H](CO)C(=O)O)C1=O,C=C1C(C)CCCC1(C)CCC(C)=CCC1=C(O)C(=O)C=C(NC(CO)C(=O)O)C1=O,200.0
CHEMBL2315410,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@@H](C)O)C2=O)[C@@H]1C,CC(=CCC1=C(O)C(=O)C=C(NC(C(=O)O)C(C)O)C1=O)CCC1(C)CCC=C(C)C1C,120.0
CHEMBL2315409,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@@H](C)O)C1=O,C=C1C(C)CCCC1(C)CCC(C)=CCC1=C(O)C(=O)C=C(NC(C(=O)O)C(C)O)C1=O,94.0
